frame,phase,occluded,blurred,gt_x,gt_y,gt_w,gt_h,py_x,py_y,py_w,py_h,py_err,py_iou,py_ms,py_ram_mb,py_status,cpp_x,cpp_y,cpp_w,cpp_h,cpp_err,cpp_iou,cpp_ms,cpp_ram_mb,cpp_status
1,Agile ZigZag,False,False,43,121,60,60,45,126,59,57,3.81,0.845,54.52,308.8,TRACKED,50,120,60,60,7.07,0.768,0.1,352.4,TRACKED
2,Agile ZigZag,False,False,53,129,60,60,56,131,60,55,3.04,0.833,56.98,309.2,TRACKED,45,124,59,57,10.7,0.615,54.69,353.2,TRACKED
3,Agile ZigZag,False,False,54,135,60,60,56,139,59,55,2.12,0.873,55.37,309.2,TRACKED,56,130,59,56,7.16,0.75,54.98,353.2,TRACKED
4,Agile ZigZag,False,False,57,142,60,60,59,146,60,53,2.06,0.829,55.27,309.2,TRACKED,56,138,59,55,6.67,0.761,55.33,353.4,TRACKED
5,Agile ZigZag,False,True,54,140,60,60,55,146,60,53,2.69,0.856,56.23,309.2,TRACKED,59,146,59,53,5.15,0.765,55.24,353.7,TRACKED
6,Agile ZigZag,False,False,55,142,60,60,58,149,59,52,3.91,0.8,63.51,309.2,TRACKED,55,146,60,53,0.5,0.883,55.08,353.9,TRACKED
7,Agile ZigZag,False,False,62,150,60,60,65,156,60,51,3.35,0.775,66.93,309.2,TRACKED,58,149,59,52,6.73,0.726,54.91,354.2,TRACKED
8,Agile ZigZag,False,False,65,146,60,60,67,154,59,51,3.81,0.81,80.82,309.8,TRACKED,65,156,59,51,5.52,0.806,54.35,354.5,TRACKED
9,Agile ZigZag,False,False,55,169,60,60,59,173,57,51,2.55,0.782,93.47,309.8,TRACKED,67,154,57,51,22.15,0.362,54.51,354.7,TRACKED
10,Agile ZigZag,False,True,69,163,60,60,72,170,58,52,3.61,0.812,76.04,309.8,TRACKED,59,174,56,51,13.65,0.536,54.27,355.0,TRACKED
11,Agile ZigZag,False,False,68,167,60,60,70,172,58,52,1.41,0.838,57.8,309.8,TRACKED,72,171,57,52,2.5,0.797,53.91,355.2,TRACKED
12,Agile ZigZag,False,False,68,168,60,60,73,176,57,51,4.95,0.758,62.26,309.8,TRACKED,73,173,57,52,3.64,0.772,58.18,355.5,TRACKED
13,Agile ZigZag,False,False,70,177,60,60,74,183,56,51,2.5,0.793,61.32,309.8,TRACKED,73,177,56,51,4.61,0.793,64.77,355.8,TRACKED
14,Agile ZigZag,False,False,68,178,60,60,73,185,56,50,3.61,0.753,57.03,309.8,TRACKED,74,184,56,50,4.12,0.73,63.43,356.0,TRACKED
15,Agile ZigZag,False,True,64,181,60,60,67,186,56,50,1.0,0.778,56.77,309.8,TRACKED,74,187,55,49,7.52,0.637,61.87,356.3,TRACKED
16,Agile ZigZag,False,False,76,179,60,60,79,185,56,50,1.41,0.778,57.28,309.8,TRACKED,68,187,55,50,10.92,0.588,58.08,356.5,TRACKED
17,Agile ZigZag,False,False,73,193,60,60,77,197,55,51,1.58,0.779,57.32,309.8,TRACKED,78,186,56,50,12.37,0.586,55.54,356.8,TRACKED
18,Agile ZigZag,False,False,72,191,60,60,78,199,55,50,4.61,0.74,57.89,309.8,TRACKED,79,198,55,50,4.92,0.716,56.04,357.0,TRACKED
19,Agile ZigZag,False,False,79,189,60,60,83,199,56,50,5.39,0.778,56.74,309.8,TRACKED,78,199,55,50,6.1,0.74,54.85,357.3,TRACKED
20,Agile ZigZag,False,True,78,195,60,60,82,201,56,51,2.5,0.793,58.24,309.8,TRACKED,82,199,56,50,2.24,0.778,54.57,357.6,TRACKED
21,Agile ZigZag,False,False,83,188,60,60,86,198,56,50,5.1,0.778,67.35,309.8,TRACKED,82,201,56,51,9.01,0.668,55.65,357.8,TRACKED
